ID,Yield
ID_1TIMGZJLRLWF,619.72565
ID_25E6065LQDON,649.3709
ID_SOB9B3H12POE,727.3771
ID_A8RF0GQGJF5H,817.0954
ID_GT36LGF8SM8K,412.31586
ID_E9OHGDA3U6DG,408.0537
ID_HXWHLMRE99CE,940.02496
ID_3VL9DLFRG5A3,321.6169
ID_OKPI3DR2ZQPJ,249.42896
ID_XZO6ECCAOC94,992.39215
ID_4X2UWYR6RIE2,605.61127
ID_1LVAHN6PZYBS,1355.6715
ID_HRAJFKTPCNWQ,1959.448
ID_TK4H5NRKHOE8,317.584
ID_9U0UBT1J8152,319.66827
ID_3EUKVYT37JOP,254.46158
ID_1499QWPPW755,578.51215
ID_ULWP3J0G860C,316.54364
ID_51FSB3P7RO7F,572.72656
ID_FHMVP6OM4GDX,1533.8357
ID_2OICAUFVUF5S,221.48994
ID_ZGCFHIHAIC5U,411.1379
ID_SR592R346POT,1298.4634
ID_IW7UUDAW8LI0,384.18393
ID_UNWZCF6L3JHJ,405.97336
ID_Z4FXX0BNPHCO,998.7955
ID_T18YB26T1R72,409.76978
ID_LXZWOINVI194,572.0216
ID_QNQJS14C9JJR,1891.0931
ID_NTPIQUV3J2G6,726.40656
ID_PVQOEEDTISZ0,55.32986
ID_PNB65ASGG3U5,322.07913
ID_KWPXATBZDX9T,410.66623
ID_0G0F9TOR4IMI,1326.5876
ID_FVLMABW5Y6X2,908.57825
ID_O2PL38IY50T5,507.13364
ID_CNG8Z00FPPMP,814.67346
ID_641DSHBH8JAF,1085.4683
ID_Y14QXUKOFJ4H,317.2914
ID_DRP3WZV4BNIE,645.29114
ID_TMXV7UW39T80,232.90121
ID_0L8O49SS6MQM,538.8902
ID_UGTG0XQELY2U,424.36066
ID_0YZYA9AXL9Z2,259.15402
ID_KNOK4V0IWVUO,151.69466
ID_YX4DF17Z25RV,408.20688
ID_2YAZXP3AEDVO,330.2638
ID_YNACZPCVVI09,1865.474
ID_75GYXJW1DYGX,265.7813
ID_YRCMJRFRTU2K,724.0006
ID_1L4WBTHTDQMP,604.3464
ID_RO0XF0TFLRG6,567.1754
ID_NJ7G0SAVDN1Q,408.52768
ID_UFPM6MLG1BJK,88.40873
ID_ULY51B6WQ9FV,824.7128
ID_CR6L4TL2VEEM,245.71228
ID_4YRSPS7X1V7Q,401.91028
ID_ILQ5YE78E0SD,263.79315
ID_WDNXY8YRA10N,406.56573
ID_WYK6LRWQ21ML,317.2353
ID_EBA4QUGDXB5I,1199.9703
ID_2WCWAKQKRA74,702.51074
ID_FTSIEXKUER9Y,318.3474
ID_64BCOW7PEP3E,113.37991
ID_0N5TFB55JBOB,647.0701
ID_9AE1OJ45UFJ3,412.24216
ID_NJWAR6L7X4Q6,804.3622
ID_W8U6J9PKGGGI,386.9606
ID_WJUUIJMPNLHW,411.4609
ID_S7F4L5OW7OKD,699.39703
ID_Y0OX05BLLQPI,199.3359
ID_XJ7ULGKCALNF,593.4712
ID_8NU1PZBDI5C7,1112.4594
ID_CPPN31R20CBA,653.35645
ID_D20Z6VEJBE6K,55.383816
ID_N6RSTF2IR5GL,418.52188
ID_DJBLGDPMS85M,59.503746
ID_34J19EEKSSHY,709.06085
ID_P8MQS1ERUQ9F,255.30128
ID_U07HHH2EG6K1,849.0654
ID_IKAOSO0CFKYZ,234.39908
ID_NHQ2WMFGNBS1,323.5749
ID_FRJ3P7XDG7OV,579.9671
ID_5N0W8ZFFAIQX,408.1958
ID_OFSHZ2KZ1LQ4,59.503746
ID_A6C1G6XUATUE,363.0576
ID_N99MP1180BJ5,157.08072
ID_D5F8SLVPMZKE,232.97263
ID_49QTISSSNQ0M,605.4778
ID_S1WHDBHNKLYO,316.13596
ID_9YE4VBW3W1WJ,405.71423
ID_7SWZRG2B52YI,317.584
ID_41XNQZ8M4QXH,405.4757
ID_SIB0PJZQMRBO,318.70728
ID_M47IW492SXOP,120.820114
ID_MTUJW5V02DWQ,820.35406
ID_Y108HSDX00WC,1023.67926
ID_QRD8JCO8QWCF,112.43591
ID_RIP1ZN0ST7I3,183.67372
ID_BPS356NV28J7,999.45703
ID_0KANA1KYEQKW,183.27548
ID_80MMCWDS27VC,1838.6945
ID_CH1WWOXBV7L8,319.9547
ID_PM7YZSDTN1OI,547.3019
ID_FR4XH94DJW50,556.92053
ID_D1IDORABBOBP,411.54974
ID_0BE8BMWG3A68,553.4247
ID_RY2QD5TLB4US,323.71744
ID_S8D99RRNCOMC,1234.6068
ID_YZLW773BTIA3,319.04764
ID_FL8VHWG97QTI,965.2151
ID_JVLT86OR9T15,661.8466
ID_NBSTAXAZ24X0,1120.5172
ID_43VRMQQ5E60F,329.8186
ID_HI4ACMU7M13J,410.1185
ID_UI96L3AE8YXY,589.75433
ID_UXRI6OXKF50S,950.67163
ID_FW06NS2YA7QW,407.4155
ID_RA5OO0JVNOUF,569.9276
ID_EVGU94YQTZWM,248.14453
ID_GHANLFEJN9UW,224.78049
ID_HXBFX8X2DD7B,992.98944
ID_KUNLQSF5FM19,411.28918
ID_7XXH76413XNT,614.9989
ID_D58TIQKQLU7Q,323.29492
ID_W5CLRPVGFRKH,513.41956
ID_A3Y0OIB0BE59,410.32706
ID_C74NLELOCNTS,6157.717
ID_2FIGN89QV44C,185.7606
ID_QN4PJSV2CGSJ,263.4009
ID_V5W6AZBTURWA,408.55264
ID_L6E0GOTVHSCD,571.10474
ID_Q95BUWXK8RM3,229.34729
ID_5TLXCFLTYF1F,409.81293
ID_GLBHSYJG9S5B,1305.0017
ID_3X3YHRC7IIN9,604.99744
ID_5H724YS64665,931.6045
ID_U4Z5RN88FCZM,624.52124
ID_05TGZGOMI6MF,410.63828
ID_0GCZV8RUSZK6,336.85028
ID_UV06K1FM1SB5,565.51965
ID_RCJZ3PORBWFV,186.04907
ID_W1NL5CU9VHQS,409.52933
ID_2WIYFQHMJPYD,2282.9497
ID_BFFULEU6PVQ9,108.32049
ID_JN31K11BXQ0E,351.71973
ID_DS40FHVR9R7F,319.74323
ID_DNOT9DTVZ6MQ,639.6165
ID_Z58PO8MMX8YV,643.18286
ID_NEYMBJKFHN1X,722.18005
ID_RND7MNSA6LWV,252.94049
ID_U407VXC7F9NZ,317.1356
ID_ES753BBA75GB,157.35844
ID_APRL4BTWWRW9,318.23825
ID_S909ZPBZ39II,321.27722
ID_YYFP9SWEV0U5,1219.1013
ID_25EBTESPBHGZ,667.265
ID_W0W8TG7XRWE3,234.16626
ID_0FU2BPIOTMVD,664.3143
ID_OF817VW3STNX,411.772
ID_7QATIJ9YSL1K,2945.6406
ID_LBPW7URC7BBW,559.04
ID_7WYQ81JCM9V3,147.95515
ID_JGSVOGVN6522,568.69574
ID_TOUB2GY1ZHXT,620.2467
ID_9AJCTSUQG7FZ,412.26038
ID_VKOZPEUVSDI8,647.6122
ID_UG5GQ68S58OW,409.72122
ID_4RB8XK2ZB1IR,794.33307
ID_Z3P4T6K6P2ED,386.19382
ID_VUGTKX63R5P0,387.89908
ID_XMF3Q64FMLBK,553.4032
ID_DTWCZ9G9C8WD,859.2721
ID_0MNYHJUPIOIT,316.1577
ID_ZGAL960JTO3R,1318.3796
ID_PK835TJNER3I,661.16846
ID_KVGPYMSHB2WJ,349.1327
ID_OWIQYP0I1HGW,1303.3724
ID_7RS2XDILJLBL,325.66312
ID_EDCLK08NMF0N,413.29416
ID_97Y87C3ANP5B,328.6417
ID_D3SKVOTTB4KQ,266.5153
ID_APFVFYM11UU0,1867.0424
ID_TAIVU9LHBYZ8,411.73526
ID_NTR94XDRQIHZ,127.050415
ID_8QCOFS2HXOJQ,409.38455
ID_7ZZVZZH08UWF,407.90567
ID_9NGVV4V11YU2,386.0758
ID_5G8RKC18KLXV,1375.9414
ID_BSVRMHEKDQKD,409.56796
ID_6Z12209FUIAT,724.2181
ID_IRBHYP3G7UXU,316.92566
ID_9PH4KNPDDVWS,687.0961
ID_S4G0N1TJEDUG,317.99792
ID_OP7NSDQGR6AE,287.5685
ID_32RIU94UJDHI,1418.2136
ID_85WKQYHE0W5H,833.1311
ID_2T4I23J42NUP,410.87363
ID_LOJZM912S2TH,413.3171
ID_FQAR45VD4PQ5,645.5681
ID_RA4Y3ZL70BWO,1073.3656
ID_UH3QT7I1O24Q,127.543884
ID_P9OZQ56CX2YO,546.5459
ID_RB24VMV9FIGM,405.8503
ID_XECRIM8DR00Z,1068.672
ID_EYIQ79MA3T5E,638.87524
ID_B0QBM2S1R9S7,233.12549
ID_1L74BG9P0TKX,806.81854
ID_141KG0TOOCJ6,814.2318
ID_IMKLSNJKVI4P,316.34668
ID_253P6J7D92PW,322.57907
ID_PCC17RCZX06S,318.72864
ID_7MUPVDZE1ZWB,1149.4281
ID_O994OZU1NP7E,405.12006
ID_RFVKSMVILY31,407.57504
ID_MTR7TTJ5LSBE,148.0723
ID_87QM8DS5HSU7,1294.5837
ID_8KXPBLV53NZK,418.5955
ID_LQVS4LC3YRMB,609.17285
ID_ISVACTKT5MAA,411.5975
ID_C64B9DUNSCM1,199.34082
ID_ZXAE37OWUMFI,410.14548
ID_L7Y4MKY66OSL,585.95056
ID_TZ1FUOUR0Y8X,752.3612
ID_D7HMR45HU1ZW,406.46347
ID_UCZXI2H7S2YD,147.86494
ID_7TU75PUQP312,1726.8237
ID_4ULCEP364DAF,412.26038
ID_8EOY07K5LOC4,318.55634
ID_NK47MAUWJ8Z5,152.49792
ID_8ZCGIWU6GZLO,314.5451
ID_SNIWSZ237UOD,260.26526
ID_7LDSCZ2OPT0K,646.5483
ID_TK2TH4JSJ1KB,151.70438
ID_UUXFZKSR58SC,313.30423
ID_EVACECC6XIW9,1407.786
ID_U2LSES0Y4I3C,1388.207
ID_NEGU2TDNC4Y0,115.84112
ID_WCBHSOBP51H1,251.82222
ID_SVRQ4NGZFMMP,856.4603
ID_5TBBUKHYJ1KI,606.3526
ID_4AOR8R30LNOD,409.34653
ID_5XOUKBLNO7AC,412.6367
ID_IQZTM1J018FS,813.77405
ID_Q9VXX3O6IZOD,246.36145
ID_HTEQD0S6QIB8,313.84677
ID_0GFT8KE7O9RP,895.19257
ID_SHFI8L6O4DQ3,722.882
ID_64MUBP88ECF6,406.0629
ID_EHYBYH7QLOSL,205.1235
ID_GTGEI6PS93QJ,1520.6826
ID_TL9C9OJ8G68U,147.86494
ID_SM1GWL52K1F8,317.65054
ID_DZW8R8ONEU66,409.1879
ID_HBDA4P8811S8,3502.1487
ID_CJQOTSL074N8,570.6498
ID_KZ0X60V9XQIG,1850.6909
ID_0TWFZTV06NYT,592.8904
ID_PVJN35A46C0K,569.25183
ID_D732BOTXBLSI,412.55154
ID_342GB00NU2X8,178.53244
ID_AQUL5HCLWJPM,1067.3931
ID_VU3938I1G9Z0,807.3417
ID_Y2ZY2HDPU6PE,410.19962
ID_SJD77GLF5ZFJ,598.26465
ID_3T35R9QJBF2M,320.73926
ID_NQUTMXXK59YN,661.25146
ID_SV7AFMBC72LB,152.07312
ID_PAPK30H37SIW,825.11255
ID_URRQOVPPCBQ4,199.34082
ID_CQPXYYK4KGB7,316.94702
ID_RJIJXF4OS4RL,59.503746
ID_APUXW8HC4K6B,944.46185
ID_61Q9C9GGPHDI,1260.0402
ID_ZWZRMNC7OOCV,248.29564
ID_IYKX7HR08L6A,305.61972
ID_AIG281L5ZHU8,148.27138
ID_NHUOZPKIO0BR,322.18228
ID_LLYN4K7KIT4R,408.49774
ID_0TSE5OLEV8WK,408.27896
ID_H992DU9HM8DQ,318.9624
ID_UK0CBXPBQ5RY,1091.9684
ID_RDPY3EBXFJ5O,1251.8644
ID_5L97TY473GY5,1167.1285
ID_5B1X9MC1IFX0,385.8504
ID_ECWVAC40SNWB,3189.6968
ID_OE87AT5TAUEI,1974.8976
ID_XR12GEBM8H2K,1291.1843
ID_LJ2AP4BNL25Y,597.3982
ID_LH311ABG9XDL,315.94742
ID_HXONOBB4HD6T,1899.2533
ID_7AOOKABBB6N8,1200.6688
ID_Z17C9TLMF1MJ,237.28162
ID_3PUBL95YQ1AF,638.96075
ID_3RUIBILNO5TH,186.04907
ID_9VMYZE08M98X,639.1573
ID_6SDJYMNC1T2Z,166.33028
ID_61DT371A8JKT,317.06152
ID_R51LYLFQUFIL,604.1435
ID_MJYLQ159US1Y,907.66235
ID_QQHLY17D6RBD,1282.9211
ID_Y84JBGTU3NGV,620.4339
ID_V8BHOZICY6IF,405.6798
ID_DZ1R5TGC156F,657.0061
ID_UQTR8CQ5LH50,1189.8701
ID_CK56LDNW1478,804.1637
ID_QJGUBXWDDCRS,654.96674
ID_H7YHR5OTSNS5,88.157425
ID_8FRJCZZGLIRC,725.93036
ID_U29DLWFB48GG,226.83243
ID_W3OHI7MAVC24,149.65654
ID_1ZY88AN5LZD4,411.10825
ID_OC5EEB6B892L,814.0058
ID_CMWPG2PIB75R,616.214
ID_NWEI411ITDHM,807.65173
ID_G49PUGN2HFAD,247.26323
ID_GSNP1IEZEQBC,414.19986
ID_GJUS6RREHQ81,908.7377
ID_7F8MCGYBVNP9,322.86136
ID_0L3CDZHQMEW6,652.732
ID_WWW8P7C0BWWD,318.3474
ID_K5SN27S6ODNO,821.9188
ID_UFYYFX1MOUMV,1293.2993
ID_D0724QR6ZQQF,1682.4899
ID_PMSOXFT4FYDW,4457.2144
ID_SO7VGCA3U32O,559.9026
ID_FRF1EVPIL6HX,644.5898
ID_82CBKU1NDJ0V,1267.9718
ID_RX8DANVXO123,382.77692
ID_ILC9A9DN5G2Z,813.5089
ID_2GDKRWUIWI9Y,158.36882
ID_RBQ5VAV4DJ5G,638.9892
ID_UOQYVR79LGBI,410.68802
ID_K6AD8QUXXR6Y,319.45236
ID_J342KZ43X2VJ,564.48157
ID_XPEQ4HVRRQX3,2189.558
ID_AJUG34L464MU,640.3592
ID_JF3KG0PYDKQF,1899.7638
ID_L9Y3DAFA0E72,411.7244
ID_E6BGEQJGO571,238.98997
ID_SP088I6KHJYU,405.68964
ID_044M7JJ7F7ZH,643.79236
ID_FWCKHCWUI2ZA,319.03354
ID_RYVNAORY2187,238.88423
ID_AKABUF8B09YM,804.1637
ID_S2JJQXZHA1AS,579.91205
ID_4QOOOG43P1EL,977.84827
ID_X7Y0DSAFDFLN,639.50696
ID_HBHBHNCY4HVH,386.03384
ID_BD6WGXMV0N9M,411.5975
ID_L96Q9Y8ZKZ8E,1252.1766
ID_THWRW6UMVR43,267.06198
ID_BORVFDCCKT0H,814.7584
ID_2L25K22ZLQPZ,413.18436
ID_YUL27A9GYMND,380.0603
ID_8MKACM85VSCS,2740.8677
ID_4060CUEUW7HI,405.68964
ID_Q0SM7VK3YP8B,110.92199
ID_KFDMKLKS776M,408.16595
ID_JFSU9KK3JSCO,1420.4806
ID_YDVQY6M9SDE1,255.0303
ID_24UQHTEAU2MZ,412.3768
ID_SGZSFYIOBIN2,585.1813
ID_JNBPHXXIFBMH,319.33524
ID_ZDH7Q9PB2ZFC,318.0039
ID_Z8L5CROZXDD9,684.83234
ID_BFWA63TCREXQ,320.54333
ID_M3DHWRLA56N4,936.8552
ID_7QNMKE9U82HO,937.7596
ID_75A7EFD9RIO4,148.08545
ID_ZGRBK42R4LAE,406.8929
ID_E69IMEJ5DN9Q,410.81174
ID_9GU549TH7ZK3,1180.7561
ID_32IOWXYS1DUU,336.75027
ID_055AL1ZL5ZQ3,112.43591
ID_1D24WF1F56XL,199.3359
ID_C8563RHWH4R1,408.53723
ID_FWYXQF7RP0NA,605.6773
ID_RUQF0NVO7GUP,111.72877
ID_U51NJXF1ANRX,337.55902
ID_52E5N2X6YPZC,409.9805
ID_5605KFWD5KLI,604.99744
ID_RP1T12JOZ0W5,385.12964
ID_1NJF183VW7MV,212.19873
ID_YBW0BLUZSB09,715.4959
ID_EMWY1EBQA2OW,58.537548
ID_PRZUQ2CC6YQL,641.07983
ID_DR9MHVZLS2J3,192.60924
ID_F9Z4KJ1ATXQX,339.49942
ID_1IEQS1MMJVNU,1249.2904
ID_Y5OJFJ4ELKBO,1637.8926
ID_OYZLWHPXC232,191.1865
ID_RIJPB9ZK7QMJ,431.66885
ID_5YLAHA1RPCLZ,571.73914
ID_7YD43YGQEHAG,280.83224
ID_Z2128MPPJH3I,318.75626
ID_6E9C80EV7UVB,603.8964
ID_V292OF4LJFY6,301.04987
ID_GZWEN5J0753A,150.30914
ID_DZJI74TH27S2,604.61865
ID_VB20G3017OT3,1409.701
ID_PFR5TR9NSJ44,2505.9832
ID_CGEMGXF9GKAN,644.99567
ID_UQN5YELSPFW4,582.9861
ID_9KQ04PBVJQ2Z,613.6537
ID_4XS5DB6R0W1W,3323.6018
ID_0LIP6T5ZSM47,740.1493
ID_EKT3T87PW61E,406.07877
ID_8APYWALBVJJG,1264.3837
ID_IZNAGRDXI416,572.86426
ID_O8JW768V2WBT,927.13257
ID_QB1EGGOG4PKU,320.226
ID_QL474TRJZ4KT,243.59956
ID_JS00JMA9OC55,245.98766
ID_KX93WT2WM8KI,390.63364
ID_88T4KAWBOXD2,707.7072
ID_AYEXJ449FHYB,240.4789
ID_WAMWUG0WHB97,750.98016
ID_MNSBZZRLVYAB,417.66412
ID_NIO4I0V8DWYJ,109.400764
ID_NIZWE5DL0ZEP,721.8767
ID_9NCKQGLK3SD9,408.95355
ID_5OSGLVZW9D29,799.6924
ID_6XPJZR8ZCIC2,317.10236
ID_IY0SP642OW24,661.9843
ID_RIYH64Y97QRK,621.0404
ID_XSP6B48LKWT8,569.9276
ID_W753O33BW3BB,410.80923
ID_RWJ0XTITY982,3103.1868
ID_EUEIBIX6TBO2,286.88297
ID_WH5AACW8DNG9,249.02357
ID_NKCHBHQGHFQJ,406.68576
ID_55LF7DAPVUM9,382.77692
ID_QCVF1IC80H55,251.79457
ID_TTYI3X4FHRSK,572.18097
ID_FAVZ1A7JE66Y,199.3359
ID_K3QDY7VQTJ4Z,404.4981
ID_SXVSUXY5UZAB,305.61972
ID_5K5QDTT6M6RR,604.2068
ID_LVWYORSZVO3S,250.37009
ID_6ECLIA2352NF,224.63483
ID_W9B36B5RXLXB,1273.4701
ID_FBND5TKBJU4V,243.60641
ID_IEG1EPIW3QJE,603.7468
ID_XBAKEC3FGVOI,261.76865
ID_YX1YSBJPV00F,234.61707
ID_CNJ0199EZ0Z5,263.45023
ID_9HZRXVLF8O7Q,322.0061
ID_N8DOGSGMLEEF,322.88446
ID_QTT6DFO6C20M,146.18556
ID_84TIYB63GU2Q,235.4593
ID_I13964DD6KTD,408.38214
ID_31NJ27Y0VJFL,265.379
ID_SFCM114U57TL,315.07562
ID_JO7PGDO0GSL6,604.1932
ID_GL342CDVL9P5,320.8572
ID_89HGYIT9L72K,416.19327
ID_GMN55BKSKYR7,1228.7454
ID_IPCZ9G8W2MEV,729.10425
ID_YTTWCTKL25FS,640.81024
ID_RXK77X7AJU1K,411.83496
ID_7DF2UHVO2YDW,397.9005
ID_S8ILQIMNR33S,905.63275
ID_9CZKHNKM1I86,413.9288
ID_QV0YP4S4M4EW,387.10776
ID_6NW6LZZP4YSO,809.88947
ID_11VV8EJUCW0H,3059.534
ID_12B9ODTQEDJP,569.9276
ID_O9F0DSRI883S,317.76227
ID_UGZM1YTX1O1E,570.28796
ID_K9QDUU90W0VF,562.8882
ID_NSYRKSMPHBU1,652.7331
ID_VTPNQBR81BM9,586.50464
ID_39OMID9QCOG0,385.94565
ID_1PEZ9AQEX5YZ,560.42957
ID_KMV01O5FI1RE,200.02234
ID_D8YY9UAL3DUU,1035.5608
ID_MK1LEGI0K09C,618.4067
ID_SIGZ0JBXQGOV,235.1307
ID_TVKRFN7WM03R,242.83113
ID_0BEO9O1TBGD7,406.7177
ID_0LAUIA0BNIC1,267.31226
ID_J3ASN4NEHJWU,563.7854
ID_E0C4Y5E20718,653.42786
ID_42C9CZBA94GA,251.3317
ID_YR8ZM2POXIMW,357.5162
ID_CI5T4HTPFSD5,2153.012
ID_A43CG1H8ISRO,284.26392
ID_3CEHUW3S0G0K,900.7257
ID_TXB3AVJR817F,384.78137
ID_EARHOHWMJBZN,733.7969
ID_3VLU0ZG4HZCJ,317.584
ID_BXY0XWQ3PB64,653.3105
ID_QRR9XFG9T842,619.19934
ID_EUX6TSC8JHCM,406.07877
ID_QFOI09YR3VXI,410.07492
ID_YV25FQOXZ8MV,61.4232
ID_7FQESEUZAD3Z,249.92229
ID_CNWL7DTP3YX4,317.64792
ID_T55BT4VODB0E,233.86633
ID_RV1AQV8A2YO5,1054.2233
ID_4LD71OA2HWJA,421.16687
ID_MURY55Z0UGAN,318.6488
ID_N2FMG5146H3F,232.5416
ID_UTINEMLC3YZ8,319.09073
ID_2YV5CPEX8PQX,726.28204
ID_G04CAJF9PJPJ,316.81253
ID_VQQC20SF8PFA,315.18494
ID_XLERVZJLB89L,438.97012
ID_55VQDPWDVUJN,1212.9004
ID_ZQ8CAFATMFQ4,396.65012
ID_G0F3TN5NG6BH,254.7926
ID_PF85WDFZ5SIC,265.79892
ID_LPA096T2PA37,313.61276
ID_TOJV71OD5IJA,552.59454
ID_OC71Q8G1PU9X,600.3948
ID_ALXWTRGLKYET,405.00507
ID_L25QRS7Z1I48,579.4552
ID_ZJX6UR06AOQN,252.626
ID_J18Z7G8MKNNW,925.14014
ID_A1FRWN0WLOW3,587.9644
ID_1WMN80LOMPYX,588.6017
ID_PN8SLC70UAFU,386.07483
ID_Y0VLNN9FFCDB,941.0525
ID_KSNG2EHQWVN2,1823.1545
ID_6W3UCOWAIKFY,246.67393
ID_SAMIPB6FVS35,605.38806
ID_5XWLZR0M55MG,601.0235
ID_XS38KEFXELD5,405.95102
ID_59TDKRUHGJTU,325.18686
ID_LA52IZ1MKC63,110.87959
ID_HUS8E1K54UTE,625.86896
ID_I13GK4NJXW16,1077.0898
ID_VNANLNWRQBB6,408.67645
ID_S9RY48JU1EY7,803.2824
ID_4STCBR16P9VP,984.9715
ID_8975M70FEDGV,1246.7018
ID_DUBR80BZKU6Y,317.53235
ID_MAEEJ3FRNXBQ,268.57306
ID_H4AAIXVXUTIW,1422.5044
ID_9O8JMRL331Z1,245.72548
ID_NGSCERQ2QDX4,314.68182
ID_6LCF9GFNTUHP,405.68964
ID_P1FUZAFI9H4Z,716.59985
ID_98FVLR8JYSIK,903.0247
ID_21Q3Q5YNLZZX,656.9894
ID_PBBKRFRQIL4M,253.38994
ID_XUQ4DJPJN922,410.47397
ID_XN9SQO2E71Y5,329.44995
ID_16EL4RBE07V4,655.93097
ID_J9A3XKAY092U,323.0333
ID_SI3U6TVMFSLR,2020.796
ID_MZPNEAO40UOF,641.98395
ID_JMOP4XUA0I7Z,405.8503
ID_3K7O1OS7SC87,1022.32263
ID_1FKKC1Y469H8,564.9966
ID_KLWMKKI8XBMZ,386.0864
ID_INV1UN5XSNO4,287.34308
ID_FCP0ZRWKWL2B,1348.8721
ID_L7DSNSBA5RQQ,159.00586
ID_SECEK6SG1NI8,2007.2936
ID_ZZH6SDGIBPVQ,639.1573
ID_NKCBC5AYF2O5,947.98474
ID_HCUH5OSOLYNC,293.44452
ID_P2YVKXAWU6J2,670.12634
ID_H5DAKY1IT85H,1186.1688
ID_FN2NLEWDMB6D,319.89896
ID_FQRTZI314E4V,1722.9824
ID_605VN4QHNIDI,402.45886
ID_J9MMOAJFJ2J9,320.4134
ID_2N51RJM7IWTE,411.22388
ID_G7LKS3J2NRV9,564.22296
ID_B75HPYZV9PLR,809.35944
ID_IJFSC215A8T5,257.6201
ID_XUJ8JAS1QTG5,107.181755
ID_OC29SB0GECK9,1427.8975
ID_0ZW1XY8NZ5AA,106.25596
ID_XUYVTZH1U6V5,634.47003
ID_TUQ7O8VZEO8Q,1245.8816
ID_XL5X7DAJMM1B,322.18228
ID_6GOHOWR9UQEB,579.0833
ID_OSG7JPS4CTQ6,561.4336
ID_TYWY3ZJA2J5I,1766.9016
ID_E8R8OU0PL6KU,909.6036
ID_NVSZ1QLGBUT6,371.49838
ID_B6DWB2FSMPKC,318.09906
ID_P0UJZBSPVHUE,1289.3516
ID_O9LKW41W3CE6,235.18353
ID_APVY0ZAA2T96,267.86682
ID_DXH0G1YZBCCY,606.61884
ID_50FMQ8VLWTYD,817.7534
ID_MPXG6OFK28RA,1055.529
ID_KO5Q9YHKSLDL,807.3417
ID_5RN40WEWP1EL,680.18695
ID_C22JIXZIZSL4,254.00058
ID_9DQB1KQZBTV8,316.39374
ID_CQHWUNCL5PCX,293.5269
ID_J5OEXVDCNB0P,806.81854
ID_RDH6HLOB2U92,261.2441
ID_8TPHQ60JF6EX,405.58685
ID_1PB93FWUQFQB,318.7529
ID_3N976J1OGQLO,597.4794
ID_7KUFT15M92QJ,293.5269
ID_PCCPOOUSGB06,150.75058
ID_3FRDNPVY5FNP,1203.972
ID_BK9ZR4TDE7NZ,622.9155
ID_OUWYLUIH2R51,416.89847
ID_L5ZLQMRH6KKF,614.6745
ID_Q4UW4DG55OJW,566.19403
ID_OYF1ASPZJQNP,411.61176
ID_GZUUS62OBWF1,938.7812
ID_KKZDBKDWVPID,317.18332
ID_YCYMKBL2CA1K,405.68964
ID_KHTP23X20T5I,412.73514
ID_PVCGOZWIYCRW,3910.2026
ID_32NAED58MFBN,1235.6526
ID_N20MRZDYH6K2,959.8456
ID_DBTQY3BIX7K1,318.65988
ID_VXHEQJCSAEGO,405.4757
ID_1UBFDMDD35E0,337.70602
ID_UTQLHUO15C6P,1249.7494
ID_KUQSQP4UEPNX,3028.1255
ID_NG1BV8SLDLT6,241.7217
ID_3WE5BFF4QQ07,338.69656
ID_OJCKZSAW11FT,909.5767
ID_01FMRJ8CZ1B9,326.52228
ID_UFCY75JEV9LT,458.23138
ID_2EZWQR6H2KMD,861.8676
ID_VDBLFDMIL8NG,760.89935
ID_AT56XBOIGQNE,784.21204
